#,File Number,Trade Name,Corp Name,Business Status,Address,City,State,Zip,Mail Address,Mail City,Mail State,Mail Zip,County,Permit Number,Issue Date,Permit Status
,00084329CM-998,Carolina Beer Company,Carolina Beer and Beverage LLC,Cancelled,110 Barley Park Lane,Mooresville,,28115,PO Box 1183,Mooresville,NC ,28115,Iredell,00090496BW,9/1/1999,Cancelled
,00084329CM-998,Carolina Beer Company,Carolina Beer and Beverage LLC,Cancelled,110 Barley Park Lane,Mooresville,,28115,PO Box 1183,Mooresville,NC ,28115,Iredell,00090496DI,4/6/2006,Cancelled
64,00085635CM-999,Hops Restaurant Bar and Brewery,Hops of the Carolinas II Limited,Cancelled,520 University Center Blvd,Charlotte,,28262,2701 North Rocky Point Drive Suite 300,Tampa,FL ,33607,Mecklenburg,00085635BM,9/22/1998,Cancelled
65,00085723BM-999,Brewing Experience at Charlotte Brewing Company,Brewing Experience LLC,Cancelled,1411 South Tryon Street,Charlotte,,28203,,,,,Mecklenburg,00085723BM,8/27/1998,Cancelled
66,00086023CM-999,Brokerage,T J T Inc,Cancelled,211 North Center Street,Mount Olive,,28365,PO Box 981,Mount Olive,NC ,28365,Wayne,00086023BM,7/31/1998,Cancelled
67,00087252CM-999,Beaufort Brewing,Beaufort Brewing LLC,Cancelled,118 Craven Street,Beaufort,,28516,,,,,Carteret,00087252BW,9/24/1998,Cancelled
,00087252CM-999,Beaufort Brewing,Beaufort Brewing LLC,Cancelled,118 Craven Street,Beaufort,,28516,,,,,Carteret,00087252BM,10/1/1998,Cancelled
68,00088159CM-999,Southend Brewery and Smokehouse,Southend Brewing Ventures LP,Cancelled,505 West Jones Street,Raleigh,,27603,,,,,Wake,00088159BM,3/11/1999,Cancelled
,00088159CM-999,Southend Brewery and Smokehouse,Southend Brewing Ventures LP,Cancelled,505 West Jones Street,Raleigh,,27603,,,,,Wake,00088159BW,3/11/1999,Cancelled
69,00088159CM-998,Southend Brewery and Smokehouse,Southend Brewing Ventures   LP,Cancelled,19441 Old Jetton Road,Cornelius,,28031,,,,,Mecklenburg,00098574BM,5/10/2000,Cancelled
,00088159CM-998,Southend Brewery and Smokehouse,Southend Brewing Ventures   LP,Cancelled,19441 Old Jetton Road,Cornelius,,28031,,,,,Mecklenburg,00098574BW,5/5/2000,Cancelled
70,00088918CM-999,Mash House Restaurant and Brewery,Cross Creek Brewing Company LLC,Cancelled,4150 Sycamore Dairy Road,Fayetteville,,28303,,,,,Cumberland,00088918BM,2/19/1999,Cancelled
,00088918CM-999,Mash House Restaurant and Brewery,Cross Creek Brewing Company LLC,Cancelled,4150 Sycamore Dairy Road,Fayetteville,,28303,,,,,Cumberland,00088918BW,2/19/1999,Cancelled
,00088918CM-999,Mash House Restaurant and Brewery,Cross Creek Brewing Company LLC,Cancelled,4150 Sycamore Dairy Road,Fayetteville,,28303,,,,,Cumberland,00088918WW,2/19/1999,Cancelled
